Model,WISmodel,Location,plausible_scenario,Baseline_model,WISbaseline,Label,Target,WISratio,Round
MOBS_NEU-GLEAM_COVID,21.80749759477408,Nevada,Scenario A,COVIDhub-baseline_4wks,12.94087987413876,Baseline,death,1.6851634360932826,14
MOBS_NEU-GLEAM_COVID,21.80749759477408,Nevada,Scenario A,COVIDhub-ensemble_4wks,7.776700111482719,Baseline,death,2.8042096624729207,14
MOBS_NEU-GLEAM_COVID,7.928395836248881,New Hampshire,Scenario A,COVIDhub-baseline_4wks,4.675947259993782,Baseline,death,1.6955699873012307,14
MOBS_NEU-GLEAM_COVID,7.928395836248881,New Hampshire,Scenario A,COVIDhub-ensemble_4wks,3.0901560758082494,Baseline,death,2.5656943020831595,14
MOBS_NEU-GLEAM_COVID,70.59064467659277,New Jersey,Scenario A,COVIDhub-baseline_4wks,28.026152158840993,Baseline,death,2.5187419334810324,14
MOBS_NEU-GLEAM_COVID,70.59064467659277,New Jersey,Scenario A,COVIDhub-ensemble_4wks,14.466276477146042,Baseline,death,4.8796692630693554,14
MOBS_NEU-GLEAM_COVID,20.862269435544675,New Mexico,Scenario A,COVIDhub-baseline_4wks,17.335866677249822,Baseline,death,1.2034165827384111,14
MOBS_NEU-GLEAM_COVID,20.862269435544675,New Mexico,Scenario A,COVIDhub-ensemble_4wks,12.798896321070231,Baseline,death,1.6300053467266615,14
MOBS_NEU-GLEAM_COVID,223.01567680341068,New York,Scenario A,COVIDhub-baseline_4wks,85.01862173163148,Baseline,death,2.623139169526632,14
MOBS_NEU-GLEAM_COVID,223.01567680341068,New York,Scenario A,COVIDhub-ensemble_4wks,52.65032329988852,Baseline,death,4.235789313830916,14
MOBS_NEU-GLEAM_COVID,96.95604563005918,North Carolina,Scenario A,COVIDhub-baseline_4wks,63.931197696204386,Baseline,death,1.5165685787834926,14
MOBS_NEU-GLEAM_COVID,96.95604563005918,North Carolina,Scenario A,COVIDhub-ensemble_4wks,46.309353400222975,Baseline,death,2.0936601034380313,14
MOBS_NEU-GLEAM_COVID,12.05808785584106,North Dakota,Scenario A,COVIDhub-baseline_4wks,14.806261524935204,Baseline,death,0.8143911165917238,14
MOBS_NEU-GLEAM_COVID,12.05808785584106,North Dakota,Scenario A,COVIDhub-ensemble_4wks,10.799777034559645,Baseline,death,1.1165126666277256,14
MOBS_NEU-GLEAM_COVID,76.91245878356065,Ohio,Scenario A,COVIDhub-baseline_4wks,30.02630175499414,Baseline,death,2.561502892069222,14
MOBS_NEU-GLEAM_COVID,76.91245878356065,Ohio,Scenario A,COVIDhub-ensemble_4wks,17.166265328874022,Baseline,death,4.4804421526790845,14
MOBS_NEU-GLEAM_COVID,65.76210864448554,Oklahoma,Scenario A,COVIDhub-baseline_4wks,73.4705271817757,Baseline,death,0.8950814859648615,14
MOBS_NEU-GLEAM_COVID,65.76210864448554,Oklahoma,Scenario A,COVIDhub-ensemble_4wks,49.73039018952063,Baseline,death,1.3223726657657147,14
MOBS_NEU-GLEAM_COVID,24.302540688923482,Oregon,Scenario A,COVIDhub-baseline_4wks,16.315683314003152,Baseline,death,1.4895202500078868,14
MOBS_NEU-GLEAM_COVID,24.302540688923482,Oregon,Scenario A,COVIDhub-ensemble_4wks,12.507201783723527,Baseline,death,1.9430837615932632,14
